Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
8006;2023.10.31 20:07:22;0;20;0;0;0;0;20;5;20
8005;2023.10.31 18:33:52;100;0;0;0;0;60;40;9,8;39,56
8004;2023.10.31 18:06:51;0;4;0;0;0;0;4;1;4
8003;2023.10.31 17:42:47;0;0;20;0;0;0;20;5;20
8002;2023.10.31 17:41:11;0;0;20;0;0;0;20;5;20
8001;2023.10.31 16:22:08;0;12;0;0;0;0;12;3;12
8000;2023.10.31 16:21:13;0;12;0;0;0;0;12;3;12
7999;2023.10.31 15:34:43;0;18;0;0;0;0;18;4,4;18
7998;2023.10.31 15:33:31;0;19;0;0;0;0;19;4,7;19
7997;2023.10.31 13:29:44;0;12;0;0;0;0;12;3;12
7996;2023.10.31 12:53:28;0;20;0;0;0;0;20;5;20
7995;2023.10.31 12:53:08;50;0;0;0;0;30;20;4,8;19,38
7994;2023.10.31 12:50:32;0;0;20;0;0;0;20;5;20
7993;2023.10.31 12:49:21;0;0;20;0;0;0;20;5;20
7992;2023.10.31 09:57:45;0;20;0;0;0;0;20;5;20
7991;2023.10.31 09:24:44;0;20;0;0;0;0;20;5;20
7990;2023.10.31 09:15:08;0;5;0;0;0;0;5;1,2;5
7989;2023.10.30 22:35:46;0;0;40;0;0;0;40;10;40
7988;2023.10.30 22:32:38;0;20;0;0;0;0;20;5;20
7987;2023.10.30 22:31:48;0;20;0;0;0;0;20;5;20
7986;2023.10.30 19:13:05;0;0;40;0;0;0;40;9,8;39,32
7985;2023.10.30 18:29:57;0;0;20;0;0;0;20;5;20
7984;2023.10.30 17:56:30;0;20;0;0;0;0;20;5;20
7983;2023.10.30 17:55:07;0;20;0;0;0;0;20;5;20
7982;2023.10.30 17:18:07;0;20;0;0;0;0;20;5;20
7981;2023.10.30 16:47:44;0;19;0;0;0;0;19;4,7;19
7980;2023.10.30 16:43:43;0;20;0;0;0;0;20;5;20
7979;2023.10.30 16:06:51;0;16;0;0;0;0;16;4;16
7978;2023.10.30 11:22:05;0;12;0;0;0;0;12;3;12
7977;2023.10.29 18:41:26;0;30;0;0;0;0;30;7,4;30
7976;2023.10.29 18:40:32;0;10;0;0;0;0;10;2,4;10
7975;2023.10.29 18:23:09;0;0;20;0;0;0;20;5;20
7974;2023.10.29 17:21:07;0;20;0;0;0;0;20;5;20
7973;2023.10.29 15:45:47;100;6;0;0;0;20;86;21,4;85,96
7972;2023.10.29 12:31:12;0;20;0;0;0;0;20;5;20
7971;2023.10.29 09:59:42;0;0;20;0;0;0;20;5;20
7970;2023.10.29 09:58:39;0;0;20;0;0;0;20;5;20
7969;2023.10.29 09:57:25;0;0;20;0;0;0;20;5;20
7968;2023.10.29 09:09:49;0;20;40;0;0;0;60;15;60
7967;2023.10.28 18:37:29;0;20;0;0;0;0;20;5;20
7966;2023.10.28 17:13:59;0;20;0;0;0;0;20;5;20
7965;2023.10.28 16:53:54;0;10;0;0;0;0;10;2,4;10
7964;2023.10.28 16:53:32;50;0;0;0;0;0;50;12,4;49,99
7963;2023.10.28 16:45:10;0;12;0;0;0;0;12;3;12
7962;2023.10.28 16:44:10;0;12;0;0;0;0;12;3;12
7961;2023.10.28 16:00:48;0;41;0;0;0;0;41;10,2;41
7960;2023.10.28 13:58:36;100;0;0;0;0;60;40;9,9;39,88
7959;2023.10.28 13:39:43;0;0;20;0;0;0;20;5;20
7958;2023.10.28 11:59:53;0;20;0;0;0;0;20;5;20
7957;2023.10.28 11:48:38;0;0;20;0;0;0;20;5;20
7956;2023.10.28 11:47:23;0;0;20;0;0;0;20;5;20
7955;2023.10.28 11:41:43;0;0;20;0;0;0;20;5;20
7954;2023.10.28 11:19:32;0;80;0;0;0;1;79;19,7;78,95
7953;2023.10.28 10:07:22;0;19;0;0;0;0;19;4,7;19
7952;2023.10.28 08:25:23;0;0;20;0;0;0;20;4,9;19,97
7951;2023.10.28 08:05:00;0;0;20;0;0;0;20;5;20
7950;2023.10.28 08:04:01;0;0;20;0;0;0;20;5;20
7949;2023.10.28 08:02:55;0;0;20;0;0;0;20;5;20
7948;2023.10.28 06:30:42;0;10;0;0;0;0;10;2,4;10
7947;2023.10.27 21:07:30;0;0;20;0;0;0;20;5;20
7946;2023.10.27 18:27:00;0;0;20;0;0;0;20;5;20
7945;2023.10.27 17:39:52;0;0;76;0;0;0;76;18,6;74,42
7944;2023.10.27 16:54:25;0;0;20;0;0;0;20;5;20
7943;2023.10.27 16:53:12;0;0;40;0;0;0;40;10;40
7942;2023.10.27 15:37:55;0;20;0;0;0;0;20;5;20
7941;2023.10.27 15:35:23;0;19;0;0;0;0;19;4,7;19
7940;2023.10.27 15:33:54;0;19;0;0;0;0;19;4,7;19
7939;2023.10.27 14:21:52;0;0;20;0;0;0;20;5;20
7938;2023.10.27 14:20:42;0;20;0;0;0;0;20;5;20
7937;2023.10.27 14:05:45;0;0;20;0;0;0;20;5;20
7936;2023.10.27 14:04:23;0;0;20;0;0;0;20;5;20
7935;2023.10.27 13:48:34;0;0;20;0;0;0;20;5;20
7934;2023.10.27 13:47:29;0;0;20;0;0;0;20;5;20
7933;2023.10.27 13:26:00;0;40;0;0;0;0;40;9,7;38,99
7932;2023.10.27 13:06:56;0;40;0;0;0;0;40;9,8;39,27
7931;2023.10.27 12:02:09;50;0;0;0;0;0;50;0;0
7930;2023.10.27 11:15:00;0;40;0;0;0;0;40;10;40
7929;2023.10.27 09:45:26;0;15;0;0;0;0;15;3,7;15
7928;2023.10.27 08:59:33;0;0;76;0;0;0;76;18,4;73,66
7927;2023.10.27 08:36:17;0;21;0;0;0;0;21;5;20,2
7926;2023.10.27 07:59:14;0;0;20;0;0;0;20;5;20
7925;2023.10.27 07:47:34;0;0;20;0;0;0;20;5;20
7924;2023.10.27 07:39:05;0;4;0;0;0;0;4;1;4
7923;2023.10.26 21:13:51;0;20;0;0;0;0;20;5;20
