Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
26951;2023.09.30 22:24:08;0;50;0;0;0;0;50;10;50
26950;2023.09.30 21:21:08;0;0;25;0;0;0;25;5;24,98
26949;2023.09.30 21:20:01;0;32;0;0;0;6;26;5;25,32
26948;2023.09.30 21:04:33;0;0;25;0;0;0;25;5;25,02
26947;2023.09.30 19:59:55;0;50;0;0;0;0;50;10;50
26946;2023.09.30 19:58:10;0;50;0;0;0;0;50;10;50
26945;2023.09.30 19:15:10;0;0;25;0;0;0;25;5;24,98
26944;2023.09.30 19:10:01;0;0;25;0;0;0;25;5;25,02
26943;2023.09.30 18:16:40;0;0;25;0;0;0;25;5;24,98
26942;2023.09.30 17:46:54;0;25;0;0;0;0;25;5;25,02
26941;2023.09.30 17:38:31;0;25;0;0;0;0;25;5;24,98
26940;2023.09.30 17:37:38;0;10;0;0;0;0;10;0,8;4,18
26939;2023.09.30 16:44:20;100;0;0;0;0;0;100;20;100
26938;2023.09.30 16:22:36;0;2;0;0;0;0;2;0,4;2
26937;2023.09.30 16:05:31;0;45;0;0;0;0;45;9;44,98
26936;2023.09.30 15:40:18;0;2;0;0;0;0;2;0,4;2
26935;2023.09.30 15:39:52;0;2;0;0;0;0;2;0,4;2
26934;2023.09.30 14:53:21;0;25;0;0;0;0;25;5;25,02
26933;2023.09.30 14:42:11;0;25;0;0;0;0;25;5;24,98
26932;2023.09.30 14:30:53;0;2;0;0;0;0;2;0,3;2
26931;2023.09.30 14:30:15;0;5;0;0;0;0;5;1;4,98
26930;2023.09.30 14:27:34;0;1;0;0;0;0;1;0,2;1,02
26929;2023.09.30 14:26:58;0;0;25;0;0;0;25;5;24,98
26928;2023.09.30 14:21:29;0;10;0;0;0;0;10;2;10
26927;2023.09.30 14:21:00;0;5;0;0;0;0;5;1;5,02
26926;2023.09.30 14:11:38;0;0;25;0;0;0;25;5;24,98
26925;2023.09.30 14:09:09;0;25;0;0;0;0;25;5;25,02
26924;2023.09.30 13:58:41;0;30;0;0;0;3;27;5,3;26,58
26923;2023.09.30 13:45:47;0;25;0;0;0;0;25;5;24,98
26922;2023.09.30 13:27:09;50;0;0;0;0;25;25;5;25,02
26921;2023.09.30 13:07:17;0;5;0;0;0;0;5;0,7;3,72
26920;2023.09.30 12:56:30;0;10;0;0;0;0;10;2;10
26919;2023.09.30 12:56:01;0;15;0;0;0;0;15;3;15,02
26918;2023.09.30 12:54:55;0;10;0;0;0;0;10;2;10
26917;2023.09.30 12:54:31;0;15;0;0;0;0;15;3;14,98
26916;2023.09.30 11:48:00;100;0;0;0;0;48;52;10,2;51,32
26915;2023.09.30 09:35:57;0;25;0;0;0;0;25;5;24,98
26914;2023.09.30 03:40:07;0;1;0;0;0;0;1;0,2;0,98
26913;2023.09.30 00:58:35;0;0;25;0;0;0;25;5;25,02
26912;2023.09.29 19:49:54;0;27;0;0;0;0;27;5;25,02
26911;2023.09.29 19:44:29;50;0;0;0;0;25;25;5;24,98
26910;2023.09.29 19:35:24;0;25;0;0;0;0;25;5;24,98
26909;2023.09.29 19:34:06;0;25;0;0;0;0;25;5;25,02
26908;2023.09.29 19:21:32;0;0;25;0;0;0;25;5;25,02
26907;2023.09.29 19:20:49;0;0;25;0;0;0;25;5;24,98
26906;2023.09.29 18:50:38;0;0;25;0;0;0;25;5;24,98
26905;2023.09.29 17:49:22;0;0;25;0;0;0;25;5;25,02
26904;2023.09.29 17:17:10;0;0;50;0;0;0;50;10;50
26903;2023.09.29 17:14:53;0;0;25;0;0;0;25;5;24,98
26902;2023.09.29 16:52:33;0;0;25;0;0;0;25;5;25,02
26901;2023.09.29 16:50:21;0;25;0;0;0;0;25;5;25,02
26900;2023.09.29 16:42:57;50;0;0;0;0;0;50;10;49,95
26899;2023.09.29 15:30:54;0;2;0;0;0;0;2;0,4;2,06
26898;2023.09.29 15:27:12;0;25;0;0;0;0;25;5;24,98
26897;2023.09.29 13:11:54;0;15;0;0;0;0;15;3;15,02
26896;2023.09.29 13:11:23;0;10;0;0;0;0;10;2;9,95
26895;2023.09.29 12:24:08;0;0;25;0;0;0;25;5;25,02
26894;2023.09.29 11:43:00;50;0;0;0;0;25;25;5;25,02
26893;2023.09.29 09:43:40;0;25;0;0;0;0;25;5;24,98
26892;2023.09.29 09:04:32;0;30;0;0;0;5;25;5;24,98
26891;2023.09.29 08:48:39;0;0;25;0;0;0;25;5;25,02
26890;2023.09.29 08:33:22;0;50;0;0;0;0;50;10;50
26889;2023.09.29 08:24:42;0;0;50;0;0;0;50;10;50
26888;2023.09.29 07:59:53;50;0;0;0;0;0;50;10;50
26887;2023.09.29 07:36:54;0;25;0;0;0;0;25;5;24,98
26886;2023.09.29 01:37:00;50;0;0;0;0;0;50;10;50,06
26885;2023.09.28 23:17:11;0;10;0;0;0;0;10;2;9,95
26884;2023.09.28 22:21:35;0;0;25;0;0;0;25;5;25,02
26883;2023.09.28 22:20:01;0;0;25;0;0;0;25;5;25,02
26882;2023.09.28 22:18:29;0;0;25;0;0;0;25;5;24,98
26881;2023.09.28 21:09:58;0;25;0;0;0;0;25;5;24,98
26880;2023.09.28 20:59:28;0;0;25;0;0;0;25;5;25,02
26879;2023.09.28 20:37:40;0;0;50;0;0;0;50;10;50
26878;2023.09.28 20:36:06;0;0;50;0;0;0;50;10;50
26877;2023.09.28 20:21:18;0;0;25;0;0;0;25;5;25,02
26876;2023.09.28 19:34:41;100;0;0;0;0;53;47;9,2;46,29
26875;2023.09.28 18:21:09;0;25;0;0;0;0;25;5;25,02
26874;2023.09.28 17:56:32;0;55;0;0;0;0;55;10;49,95
26873;2023.09.28 17:50:20;0;50;0;0;0;0;50;10;50,06
26872;2023.09.28 17:27:16;100;0;0;0;0;0;100;20;100
26871;2023.09.28 17:05:49;0;7;0;0;0;0;7;1,4;6,98
26870;2023.09.28 16:42:45;0;23;0;0;0;0;23;4,6;22,98
26869;2023.09.28 16:40:37;100;0;0;0;0;25;75;15;75,02
26868;2023.09.28 16:26:01;100;0;0;0;0;75;25;5;24,98
26867;2023.09.28 16:01:58;0;0;25;0;0;0;25;5;25,02
26866;2023.09.28 15:53:00;0;64;0;0;0;0;64;12,8;64
26865;2023.09.28 15:10:17;50;0;0;0;0;0;50;10;50
26864;2023.09.28 14:54:23;0;0;50;0;0;0;50;10;50
26863;2023.09.28 13:25:25;100;0;0;0;0;25;75;15;74,98
26862;2023.09.28 13:21:39;50;0;0;0;0;0;50;10;50,06
26861;2023.09.28 13:01:19;0;25;0;0;0;0;25;5;24,98
26860;2023.09.28 12:57:32;50;0;0;0;0;0;50;10;50
26859;2023.09.28 12:55:38;0;0;25;0;0;0;25;5;25,02
26858;2023.09.28 12:54:50;0;0;25;0;0;0;25;5;24,98
26857;2023.09.28 12:45:39;0;25;0;0;0;0;25;5;24,98
26856;2023.09.28 11:28:43;0;25;0;0;0;0;25;5;25,02
26855;2023.09.28 11:27:21;0;25;0;0;0;0;25;5;25,02
26854;2023.09.28 07:39:53;0;25;0;0;0;0;25;5;24,98
26853;2023.09.28 01:20:24;0;1;0;0;0;0;1;0,2;0,98
26852;2023.09.28 01:20:22;50;0;0;0;0;0;50;10;50,06
26851;2023.09.27 22:17:58;0;45;0;0;0;0;45;9;44,98
26850;2023.09.27 21:00:00;0;0;25;0;0;0;25;5;24,98
26849;2023.09.27 20:58:50;0;0;25;0;0;0;25;5;25,02
26848;2023.09.27 20:05:25;0;0;50;0;0;0;50;10;50
26847;2023.09.27 19:25:00;150;0;0;0;0;25;125;24,8;124,18
26846;2023.09.27 18:47:54;0;0;25;0;0;0;25;5;25,02
26845;2023.09.27 18:45:54;0;0;25;0;0;0;25;5;24,98
26844;2023.09.27 18:36:43;0;0;25;0;0;0;25;5;25,02
26843;2023.09.27 18:31:54;0;0;95;0;0;0;95;19;94,98
26842;2023.09.27 18:22:40;0;52;0;0;0;0;52;10,4;52
26841;2023.09.27 17:59:25;0;25;0;0;0;0;25;5;25,02
26840;2023.09.27 17:54:44;0;0;25;0;0;0;25;5;24,98
26839;2023.09.27 17:41:37;0;25;0;0;0;0;25;5;25,02
26838;2023.09.27 17:40:24;0;25;0;0;0;0;25;5;24,98
26837;2023.09.27 17:10:14;0;25;0;0;0;0;25;5;25,02
26836;2023.09.27 16:37:54;0;1;0;0;0;0;1;0,2;0,98
26835;2023.09.27 16:32:52;0;0;25;0;0;0;25;5;25,02
26834;2023.09.27 16:09:12;0;20;0;0;0;0;20;4;20
26833;2023.09.27 16:00:56;0;0;25;0;0;0;25;5;24,98
26832;2023.09.27 15:59:41;0;25;0;0;0;0;25;5;25,02
26831;2023.09.27 15:21:00;0;50;0;0;0;0;50;10;50
26830;2023.09.27 15:12:45;0;25;0;0;0;0;25;5;24,98
26829;2023.09.27 14:59:09;0;50;0;0;0;0;50;10;50
26828;2023.09.27 13:40:58;0;10;0;0;0;0;10;2;10
